Time [s],Mass [g]
0,0.2218
2.5679999999993,0.2221
4.84800000000541,0.2221
7.07200000000012,0.2221
9.34100000000035,0.2225
11.573000000004,0.2216
13.7530000000042,0.2242
15.9440000000031,0.225
18.1200000000026,0.2386
20.3080000000045,0.2404
22.5,0.2268
24.6830000000045,0.2597
26.859000000004,0.2601
29.0480000000025,0.2785
31.2270000000062,0.2743
33.4680000000008,0.2926
35.6419999999998,0.262
37.823000000004,0.305
39.9730000000054,0.3133
42.1620000000039,0.3187
44.3899999999994,0.3291
46.5610000000015,0.3323
48.7090000000026,0.3443
50.8559999999998,0.3458
52.9890000000014,0.3603
55.1340000000055,0.3588
57.3160000000062,0.3741
59.4530000000013,0.3732
61.609000000004,0.3875
63.7479999999996,0.3853
