Time [s],Mass [g]
0,0.4202?
2.58400000000256,0.4299?
4.81500000000233,0.4334?
7.09500000000116,0.4393?
9.36699999999837,0.4498?
11.5840000000026,0.4101?
13.7750000000015,0.4536?
15.9950000000026,0.4110?
18.1849999999977,0.4790?
20.3640000000014,0.4888?
22.5550000000003,0.4860?
24.7330000000002,0.4472?
26.8819999999978,0.4981?
29.0720000000001,0.4918?
31.25,0.5087?
33.4420000000027,0.5145?
35.6180000000022,0.4766?
37.8110000000015,0.5440?
39.9860000000044,0.5469?
42.1719999999987,0.5638?
44.3640000000014,0.5631?
46.5409999999974,0.5312?
48.7289999999994,0.5924?
50.9190000000017,0.5742?
53.0910000000003,0.6158?
55.2830000000031,0.6158
57.461000000003,0.5920?
59.6540000000023,0.6458?
61.8459999999977,0.6042?
64.0220000000045,0.6690?
66.2130000000034,0.6687?
68.387999999999,0.6844?
70.5809999999983,0.6859?
72.7690000000002,0.6939?
74.9409999999989,0.6977?
77.1359999999986,0.6998?
79.3139999999985,0.7058?
81.5080000000016,0.7036?
83.6790000000037,0.7116?
85.875,0.7088?
