Time [s],Mass [g]
0,0.3449
2.56900000000314,0.3442
4.84500000000116,0.3417
7.06900000000314,0.3406
9.33200000000215,0.3483
11.6160000000018,0.3436
13.7930000000051,0.3582
15.984000000004,0.3563
18.208000000006,0.3737
20.4320000000007,0.3727
22.6290000000008,0.3893
24.8020000000033,0.3541
26.9880000000048,0.4104
29.1380000000063,0.3909
31.3660000000018,0.4279
33.5930000000008,0.4361
35.8220000000001,0.4403
38.0370000000039,0.4518
40.2750000000015,0.4517
42.5060000000012,0.4725
44.6870000000054,0.456
46.8650000000052,0.4898
49.0910000000003,0.4892
51.2839999999997,0.498
53.5080000000016,0.4702
55.7400000000052,0.5102
57.9190000000017,0.4797
60.112000000001,0.5169
62.333000000006,0.4998
64.5140000000029,0.5327
66.7510000000038,0.5231
68.9390000000058,0.5441
71.1650000000009,0.5124
73.3389999999999,0.5535
75.5820000000022,0.5644
77.7530000000042,0.5443
79.9490000000005,0.5192
82.1710000000021,0.5268
84.3520000000062,0.533
86.5410000000047,0.4424
