Time [s],Mass [g]
0,47.6591
2.58199999999488,47.6574
4.86499999999796,47.6564
7.11999999999534,47.6558
9.5309999999954,47.6717
11.7979999999952,47.6886
13.9869999999937,47.6894
16.1649999999936,47.7074
18.351999999999,47.6702
20.5279999999984,47.7183
22.7229999999981,47.7326
24.8969999999972,47.719
27.0839999999953,47.7421
29.2769999999946,47.7592
31.4679999999935,47.7282
33.6349999999948,47.775
35.8249999999971,47.793
38.015999999996,47.7686
40.1909999999989,47.8115
42.3849999999948,47.8237
44.5629999999946,47.8295
46.7449999999953,47.8494
48.9349999999977,47.8398
51.1289999999935,47.8566
53.301999999996,47.7731
55.4919999999984,47.8182
57.6820000000007,47.8315
59.8580000000002,47.8431
62.0539999999964,47.8419
64.2799999999988,47.8627
66.4569999999949,47.8739
68.6429999999964,47.8859
70.7949999999983,47.8986
72.9729999999981,47.9025
75.1499999999942,47.9202
77.3429999999935,47.9102
79.5190000000002,47.9408
81.7119999999995,47.9559
83.900999999998,47.9645
86.0819999999949,47.8595
88.2589999999982,47.8722
90.4839999999967,47.8725
92.6319999999978,47.8725
94.8199999999997,47.8722
96.9969999999958,47.8721
99.1879999999946,47.871
101.364999999998,47.8717
103.561999999998,47.8704
105.784999999996,47.8693
107.975999999995,47.8692
110.152999999998,47.8692
112.343999999997,47.8692
114.521000000001,47.8692
116.707999999999,47.8689
118.894999999997,47.8673
121.168999999994,47.8677
123.351999999999,47.8677
125.534,47.8677
127.719999999994,47.8681
129.896000000001,47.8679
132.087999999996,47.8693
134.267,47.8692
136.462,47.8612
138.635999999999,47.8646
140.860999999997,47.8655
143.051999999996,47.8698
145.243999999999,47.8717
147.43,47.8725
149.606999999996,47.8716
151.794999999998,47.8734
